"","family","Aging_16S_negative_CTRL_S48_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_100_S51_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_101_S54_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_102_S55_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_103_S69_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_104_S70_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_105_S82_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_106_S83_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_107_S85_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_108_S86_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_109_S87_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_200_S49_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_201_S50_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_202_S52_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_203_S53_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_204_S56_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_205_S65_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_206_S66_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_207_S71_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_208_S72_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_209_S84_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_300_S67_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_301_S68_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_302_S81_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_100_S59_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_101_S62_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_102_S63_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_103_S77_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_104_S78_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_105_S89_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_106_S90_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_107_S92_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_108_S93_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_109_S94_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_200_S57_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_201_S58_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_202_S60_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_203_S61_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_204_S64_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_205_S73_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_206_S74_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_207_S79_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_208_S80_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_209_S91_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_300_S75_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_301_S76_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_302_S88_L001.clean.fasta","Aging_16S_stool1_14_194J_100_S5_L001.clean.fasta","Aging_16S_stool1_14_194J_101_S11_L001.clean.fasta","Aging_16S_stool1_14_194J_102_S13_L001.clean.fasta","Aging_16S_stool1_14_194J_103_S25_L001.clean.fasta","Aging_16S_stool1_14_194J_104_S27_L001.clean.fasta","Aging_16S_stool1_14_194J_105_S35_L001.clean.fasta","Aging_16S_stool1_14_194J_106_S37_L001.clean.fasta","Aging_16S_stool1_14_194J_107_S41_L001.clean.fasta","Aging_16S_stool1_14_194J_108_S43_L001.clean.fasta","Aging_16S_stool1_14_194J_109_S45_L001.clean.fasta","Aging_16S_stool1_14_194J_200_S1_L001.clean.fasta","Aging_16S_stool1_14_194J_201_S3_L001.clean.fasta","Aging_16S_stool1_14_194J_202_S7_L001.clean.fasta","Aging_16S_stool1_14_194J_203_S9_L001.clean.fasta","Aging_16S_stool1_14_194J_204_S15_L001.clean.fasta","Aging_16S_stool1_14_194J_205_S17_L001.clean.fasta","Aging_16S_stool1_14_194J_206_S19_L001.clean.fasta","Aging_16S_stool1_14_194J_207_S29_L001.clean.fasta","Aging_16S_stool1_14_194J_208_S31_L001.clean.fasta","Aging_16S_stool1_14_194J_209_S39_L001.clean.fasta","Aging_16S_stool1_14_194J_300_S21_L001.clean.fasta","Aging_16S_stool1_14_194J_301_S23_L001.clean.fasta","Aging_16S_stool1_14_194J_302_S33_L001.clean.fasta","Aging_16S_stool2_14_194J_100_S6_L001.clean.fasta","Aging_16S_stool2_14_194J_101_S12_L001.clean.fasta","Aging_16S_stool2_14_194J_102_S14_L001.clean.fasta","Aging_16S_stool2_14_194J_103_S26_L001.clean.fasta","Aging_16S_stool2_14_194J_104_S28_L001.clean.fasta","Aging_16S_stool2_14_194J_105_S36_L001.clean.fasta","Aging_16S_stool2_14_194J_106_S38_L001.clean.fasta","Aging_16S_stool2_14_194J_107_S42_L001.clean.fasta","Aging_16S_stool2_14_194J_108_S44_L001.clean.fasta","Aging_16S_stool2_14_194J_109_S46_L001.clean.fasta","Aging_16S_stool2_14_194J_200_S2_L001.clean.fasta","Aging_16S_stool2_14_194J_201_S4_L001.clean.fasta","Aging_16S_stool2_14_194J_202_S8_L001.clean.fasta","Aging_16S_stool2_14_194J_203_S10_L001.clean.fasta","Aging_16S_stool2_14_194J_204_S16_L001.clean.fasta","Aging_16S_stool2_14_194J_205_S18_L001.clean.fasta","Aging_16S_stool2_14_194J_206_S20_L001.clean.fasta","Aging_16S_stool2_14_194J_207_S30_L001.clean.fasta","Aging_16S_stool2_14_194J_208_S32_L001.clean.fasta","Aging_16S_stool2_14_194J_209_S40_L001.clean.fasta","Aging_16S_stool2_14_194J_300_S22_L001.clean.fasta","Aging_16S_stool2_14_194J_301_S24_L001.clean.fasta","Aging_16S_stool2_14_194J_302_S34_L001.clean.fasta","Aging_16S_tongue_dorsum_sample_as_negative_CTRL_S47_L001.clean.fasta","Diaz_16S_Mock_community_Pool1_S95_L001.clean.fasta","Diaz_16S_Mock_community_Pool2_S96_L001.clean.fasta"
"37","Neisseriaceae",0,537,750,201,19,905,364,751,10,174,563,234,41,1536,215,6,203,192,4083,2,754,3152,878,13,873,1176,480,10,731,179,217,1,292,453,226,14,1738,273,3,215,159,2621,73,827,3875,644,18,0,4,0,0,1,1,2,5,5,0,0,0,4,4,15,0,8,35,2,1,1,1,9,1,3,5,0,3,7,3,2,5,0,0,3,0,2,2,2,16,84,1,3,8,1,7,0,0,0
"38","Oxalobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"39","Pasteurellaceae",0,476,1358,1030,75,2059,796,1863,0,183,1084,406,49,5414,115,144,610,1475,1233,2,753,1272,358,475,789,2111,2519,129,1671,433,554,10,264,830,413,21,6461,213,87,622,1611,889,457,802,1917,308,433,2,7,8,0,113,0,7,0,1,0,0,3,1,1,98,29,20,2,38,3,2,3,58,2,23,22,0,146,1,14,0,2,0,4,5,2,0,31,33,35,7,36,0,6,2,72,0,3,0
"40","Peptococcaceae 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,10,0,0,0,0,0
"41","Peptostreptococcaceae",0,15,11,55,7,110,30,45,0,38,67,12,12,6,0,165,113,6,132,0,89,40,117,12,20,26,130,4,79,19,10,28,68,38,10,14,13,0,87,105,9,76,16,96,30,79,9,0,0,0,0,2,0,0,4,6,1,2,3,0,1,11,0,2,0,8,17,0,3,0,0,0,1,0,4,0,0,3,9,1,1,2,0,0,7,1,1,2,4,39,3,13,0,0,0,0
"42","Phyllobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,8,0,0,0,0,0
"43","Porphyromonadaceae",0,353,203,121,9,2995,1441,161,438,433,231,235,159,2033,37,4,1532,2,910,0,496,269,609,271,651,355,338,4,2230,841,67,387,741,202,222,62,2404,58,4,1492,8,625,1286,539,323,509,297,199,190,195,229,198,868,179,411,384,102,336,724,525,153,802,481,759,44,64,1401,352,797,444,346,296,169,188,345,935,478,314,568,559,698,838,486,99,182,732,1133,112,70,644,652,277,710,0,773,288
"44","Prevotellaceae",1,2157,2149,2033,584,2774,2260,1036,292,1309,5567,1185,894,2420,479,1953,1374,472,1160,0,5946,4155,5533,947,3854,3221,4961,1172,2115,1324,296,247,2009,4317,1171,368,2837,710,1068,1342,376,739,2276,6322,5078,4296,889,53,7,33,21,2,100,11,24,30,1,30,126,12,5,6308,521,727,31,21,468,236,157,87,79,15,54,9,4,135,18,34,20,8,82,180,15,16,3381,632,1184,50,49,240,496,87,153,1,200,75
"45","Propionibacteriaceae",0,1,1,0,0,1,2,6,61,1,7,8,2,2,0,9,4,6,11,0,3,2,66,9,5,3,5,0,0,1,3,99,0,1,6,1,4,0,3,6,0,16,11,2,6,52,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,1,0,0,242,76
"46","Pseudomonadaceae",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,33,2,0,1,8,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,5,0,64,4,8,3,5,4,1,0,3,3,0,0,2,3,1,0,0,0,0
"47","Puniceicoccaceae",0,0,0,8,0,17,6,6,0,0,59,2,7,0,0,14,0,0,14,0,0,0,35,24,5,0,34,0,8,6,0,0,0,49,4,5,0,0,7,0,0,20,3,0,0,17,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,13,0,0,0,0,0
"48","Rhodospirillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"49","Rikenellaceae",0,80,37,78,47,187,17,63,410,89,472,39,74,112,35,195,86,17,48,0,131,22,1430,210,123,53,201,109,136,10,8,367,154,353,46,26,160,59,99,73,20,31,23,151,27,1142,209,1070,221,191,1,0,511,143,400,636,116,2,119,963,153,858,66,259,503,59,1235,128,850,259,1445,296,71,0,0,757,401,389,736,874,6,154,1075,317,134,108,507,751,213,582,204,238,402,1,0,0
"50","Ruminococcaceae",2,317,140,362,68,1088,304,588,2384,338,1120,737,746,551,277,807,1327,998,709,11,405,309,2249,1153,477,196,790,164,784,146,154,2577,535,820,679,320,743,389,464,1286,894,491,202,414,397,1801,1031,1629,1943,1491,837,3270,2850,1031,1463,884,173,310,2178,1088,300,4469,1616,2471,1627,3681,1059,934,2598,1274,2539,1915,3963,781,4325,3049,2652,1436,1023,952,584,2398,1414,515,1312,2218,4193,2517,4158,870,2279,2034,2062,2,2508,853
"51","Spirochaetaceae",0,4,4,31,1,36,104,7,31,7,26,4,1,0,0,2,70,0,5,0,10,22,131,1,10,6,70,4,21,61,5,26,14,27,3,0,0,0,2,60,0,5,45,14,24,103,0,0,0,2,0,12,3,1,0,0,0,0,10,0,0,6,0,38,14,5,51,6,1,31,3,0,1,0,17,4,14,1,1,1,0,9,1,0,1,1,79,22,6,31,9,4,37,0,327,112
"52","Staphylococcaceae",0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,1,8,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1730,534
"53","Streptococcaceae",0,139,286,232,249,425,49,295,1501,787,2179,897,402,1643,355,713,387,419,491,0,1203,582,2703,1045,267,483,633,426,298,29,69,1724,1223,1601,856,163,2215,484,348,369,377,324,512,1260,691,2223,999,62,94,53,675,90,140,10,0,154,9,246,215,54,128,38,131,62,41,63,129,21,138,43,94,158,122,573,144,318,41,0,171,32,608,240,66,210,9,160,76,87,171,73,55,49,80,0,1310,454
"54","Sutterellaceae",0,1,0,0,0,0,0,0,13,0,9,0,10,0,0,2,1,2,50,0,0,0,0,1,4,0,0,0,0,0,0,20,0,15,0,6,2,0,0,1,2,37,4,0,0,0,0,37,143,183,105,66,200,54,140,0,24,82,54,1,1,120,154,22,30,163,149,6,191,18,52,242,75,96,115,238,156,131,0,142,125,52,0,0,47,229,51,57,129,58,16,111,31,0,0,0
"55","Synergistaceae",0,0,5,28,0,12,26,10,0,26,10,8,1,0,0,0,36,0,22,0,7,3,8,13,4,6,38,1,20,10,4,10,37,9,4,1,0,1,1,62,0,15,3,2,2,9,14,1,2,1,0,2,0,0,7,0,0,0,4,0,0,3,0,9,3,0,6,1,1,0,3,1,1,0,0,0,0,8,0,0,0,4,0,0,1,0,17,6,0,2,3,0,0,0,0,0
"56","Unclassified",2,957,536,1243,11,1030,2527,1078,274,731,3157,972,3340,36,278,2485,1774,11,6777,2,1476,1114,1503,73,1832,831,3136,23,802,1426,302,333,1235,2204,908,1466,44,445,1244,1792,48,4836,177,1462,1424,1235,83,29,540,82,35,162,80,497,71,340,32,65,227,85,38,496,60,612,271,176,982,244,255,381,43,615,182,26,196,178,1192,94,454,243,122,263,126,54,96,75,933,656,147,539,427,241,600,1,31,13
"57","Veillonellaceae",0,458,1019,1201,630,2528,363,879,68,1664,1247,610,785,992,230,2060,1677,1432,810,3,1565,1609,2593,599,767,1514,2927,1181,1865,240,228,37,2580,1025,585,331,1184,376,1047,1463,1272,581,266,1647,1861,1936,558,24,37,13,223,262,14,62,8,36,54,67,35,24,17,164,52,34,30,67,118,12,48,3,61,41,62,235,454,37,166,19,49,208,133,47,31,59,52,68,68,44,36,82,45,54,19,1,78,33
"58","Verrucomicrobiaceae",2,2,0,0,1,0,0,0,496,14,35,0,0,0,0,0,2,1,10,0,3,1,1,0,1,1,0,0,0,0,0,615,11,26,0,2,0,0,1,4,2,1,0,1,0,1,0,0,17,22,47,1416,0,51,0,1254,75,0,0,0,106,2,4,371,101,271,464,52,364,299,0,10,16,25,2017,0,140,0,2100,1595,0,1,0,550,2,16,466,236,269,788,153,250,245,0,2046,602
"59","Victivallaceae",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,6,4,4,7,9,2,0,17,0,0,0,0,0,17,0,19,0,8,14,11,16,4,7,7,14,3,10,12,4,0,34,0,0,0,0,0,8,0,49,5,7,3,18,10,10,0,0,0
"60","Xanthomonadaceae",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,41,2,0,0,1,0,3,2,20,0,1,1,0,0,16,0,0,0,0,0,0,10,4,96,6,0,0,25,0,1,4,8,0,5,5,0,0,11,5,0,0,0,0,0
